Name	Edible	Poisonous	Term_found
Agaricus augustus	2	1	True
Agaricus sp	5	1	True
Agaricus crocopeplus	4	2	False
Agaricus perobscurus	4	2	False
Agaricus purpurellus	4	2	False
Agaricus rotalis	0	1	False
Agaricus trisulphuratus	4	2	False
Albatrellus flettii	0	0	True
Albatrellus ovinus	3	2	True
Aleuria aurantia	0	0	True
Aleuria rhenana	0	0	False
Am hemibapha	0	0	False
Am muscaria	0	3	True
Amanita abrupta	0	10	True
Amanita aff	1	0	True
Amanita banningiana	5	19	False
Amanita sp	1	5	True
Amanita flavoconia	1	8	True
Amanita franchetii	1	3	True
Amanita fulva	1	3	True
Amanita hemibapha	2	5	True
Amanita ibotengutake	1	9	True
Amanita jacksonii	0	1	True
Amanita lanei	1	7	True
Amanita magniverrucata	5	19	False
Amanita marmorata	0	0	False
Amanita muscaria	3	10	True
Amanita ocreata	0	9	True
Amanita onusta	1	5	False
Amanita pantherina	3	26	True
Amanita parcivolvata	5	19	False
Amanita phalloides	1	37	True
Amanita rubescens	13	12	True
Amanita rubrovolvata	1	5	True
Amanita sp	1	5	True
Amanita virgineoides	3	3	True
Amanita virosa	1	35	True
Anthracophyllum melano	0	0	False
Anthrocophyllum sp	0	0	True
Arcangeliella variegata	0	1	False
Armillaria luteobubalina	0	0	True
Artomyces pyxidatus	0	0	True
Ascocoryne sarcoides	0	0	True
Aseroe rubra	9	4	True
Asterophora parasitica	0	0	True
Astraeus hygrometricus	6	2	True
Astraeus pteridis	0	0	True
Aureoboletus reticuloceps	0	0	False
Aureoboletus thibetanus	0	1	False
Auricularia delicata	0	0	True
Auricularia polytricha	6	5	True
Auriscalpium vulgare	0	1	True
Austroboletus betula	0	1	False
Austroboletus gracilis	0	0	False
Austroboletus niveus	0	0	False
Austroboletus occidentalis	0	3	True
Austropaxillus macnabbii	0	0	False
Badhamia utricularis	0	0	True
Battarrea japonica	5	1	False
Bolbitius vitellinus	0	0	True
Boletellus ananas	0	0	False
Boletellus emodensis	0	0	True
Boletellus obscure	0	0	False
Boletellus russelli	0	0	False
Boletellus sp	0	0	True
Boletinellus rompelii	0	0	False
Boletus aereus	3	3	True
Boletus auripes	0	0	False
Boletus bicolor	3	0	True
Boletus edulis	20	6	True
Boletus frosti	0	0	False
Boletus frostii	0	0	False
Boletus hortonii	0	0	True
Boletus mirabilis	9	4	True
Boletus pulcherrimus	0	0	False
Boletus smithii	0	0	False
Boletus sp	2	2	True
Boletus stromenium	13	6	False
Boletus subvelutipes	1	0	True
Boletus zelleri	1	0	False
Bondarzewia berkeleyi	0	0	True
Bulgaria inquinans	2	0	True
Calostoma cinnabarina	0	0	True
Calostoma insignis	0	0	False
Calvatia bovista	0	0	True
Camillea leprieurii	0	0	False
Campanella aeruginea	0	0	True
Cantha cinnabarinus	0	0	False
Cantharellus cibarius	21	2	True
Cantharellus formosus	0	0	True
Cantharellus persicinus	0	0	True
Cantharellus sp	3	1	True
Cantharellus subalbidus	0	0	True
Caripia montagnei	0	0	True
Ceratiomyxa fruticulosa	0	0	True
Chalciporus rubinellus	0	0	False
Chloro aeruginascens	0	0	False
Chlorociboria aeruginosa	0	0	True
Chlorophyllum brunneum	0	0	True
Chroogomphus rutilus	1	1	True
Chrysomphalina aurantiaca	0	1	False
Clathrus archeri	0	0	True
Clathrus chrysomycelinus	0	1	False
Clathrus columnatus	0	1	False
Clathrus sp	0	0	True
Clathrus pusillus	0	0	False
Clathrus ruber	0	0	True
Clathrus sp	0	0	True
Clavaria zollingeri	0	0	True
Clavariadel occidentalis	1	2	False
Clavariadelphus truncatus	1	0	True
Clavulinopsis fusiformis	1	0	True
Climacodon roseo	0	0	False
Climacodon roseomaculatus	0	0	False
Climacodon septentrionale	0	0	False
Clitocybe nudum	0	0	False
Clitocybe odora	2	2	True
Clitocybe sp	0	1	True
Clitocybula azurea	0	0	False
Clitopilus prunulus	1	1	True
Coniolepiota sp	0	1	False
Coniolepiota sp	0	1	False
Cookeina colensoi	0	0	False
Cookeina sp	0	0	True
Cookeina sp	0	0	True
Cookeina sulcipes	0	0	True
Cookeina tricholoma	0	0	True
Coprinellus micaceus	0	0	True
Coprinellus sp	0	0	True
Coprinopsis acuminatus	0	0	False
Coprinopsis lagopus	0	0	True
Coprinopsis sp	1	0	True
Coprinus comatus	4	3	True
Cordyceps amazonicus	0	0	False
Cordyceps gunnii	1	0	True
Cordyceps nutans	0	0	True
Cordyceps sinensis	3	0	True
Cordyceps sp	0	1	True
Cort vanduzerensis	0	1	False
Cortinarius archeri	0	0	True
Cortinarius armilatus	0	2	True
Cortinarius armillatus	0	2	True
Cortinarius austrovenetus	0	1	True
Cortinarius bolaris	0	0	False
Cortinarius iodes	0	0	False
Cortinarius magellanicus	1	0	True
Cortinarius sp	1	3	True
Cortinarius traganus	0	6	False
Cortinarius vanduzerensis	0	6	False
Cortinarius violaceus	1	0	True
Craterellus aurora	0	0	False
Craterellus cornu	0	0	False
Craterellus cornucopioides	9	1	True
Craterellus fallax	0	0	True
Craterellus odoratus	0	0	True
Craterellus ordoratus	0	0	True
Crepidotus sp	0	0	True
Cryptoporus volvatus	0	2	True
Cymatoderma elegans	0	0	True
Cyptotrama sp	0	1	False
Cystoderma sp	0	0	True
Cystolepiota sp	0	0	False
Daedaleopsis confragosa	0	0	True
Deflexula sp	0	0	True
Deflexula subsimplex	0	0	False
Dermocybe austroveneta	0	0	True
Dictyophora cinnabarina	0	0	False
Dictyophora duplicata	0	0	False
Dictyophora indusiata	2	1	True
Dictyophora mulitcolor	4	2	False
Dictyophora multicolor	0	0	False
Dictyophora sp	0	0	True
Durianella echinulata	0	0	False
Elaphocordyceps capitata	0	0	False
Elaphocordyceps sp	0	0	True
Entoloma bloxami	2	1	False
Entoloma incanum	0	0	False
Entoloma sp	0	0	True
Entoloma virescens	0	0	False
Exidia recisa	0	0	False
Favolaschia calocera	0	3	True
Favolaschia pustulosa	0	2	True
Favolaschia sp	0	0	True
Filoboletus manipularis	0	0	True
Fistulina aff	0	0	True
Fistulina hepatica	10	4	True
Fistulinella mollis	0	0	False
Flabellophora obovata	0	0	False
Flammulina velutipes	7	2	True
Fomitopsis pinicola	0	1	True
Fomitopsis sp	0	1	True
G juniperi	0	0	True
Galerina autumnalis	0	4	True
Galerina marginata	0	17	True
